Device Name (DA),Device Name (EN),Category,Service (DA),Service (EN),Price,Image URL
iPhone 17 Pro Max,iPhone 17 Pro Max,iphone-17,Batteri,Battery,900,
iPhone 17 Pro Max,iPhone 17 Pro Max,iphone-17,Skærm OLED,Screen OLED,2000,
iPhone 17 Pro,iPhone 17 Pro,iphone-17,Batteri,Battery,800,
iPhone 17 Pro,iPhone 17 Pro,iphone-17,Skærm OLED,Screen OLED,2000,
iPhone 17 Air,iPhone 17 Air,iphone-17,Batteri,Battery,750,
iPhone 17 Air,iPhone 17 Air,iphone-17,Skærm OLED,Screen OLED,2000,
iPhone 17,iPhone 17,iphone-17,Batteri,Battery,750,
iPhone 16e,iPhone 16e,iphone-16,Batteri,Battery,750,
iPhone 16e,iPhone 16e,iphone-16,Skærm,Screen,1000,
iPhone 16 Pro Max,iPhone 16 Pro Max,iphone-16,Batteri,Battery,750,
iPhone 16 Pro Max,iPhone 16 Pro Max,iphone-16,Skærm,Screen,1700,
iPhone 16 Pro Max,iPhone 16 Pro Max,iphone-16,Bagside,Back Glass,1200,
iPhone 16 Pro,iPhone 16 Pro,iphone-16,Batteri,Battery,700,
iPhone 16 Pro,iPhone 16 Pro,iphone-16,Skærm,Screen,1600,
iPhone 16 Plus,iPhone 16 Plus,iphone-16,Batteri,Battery,700,
iPhone 16 Plus,iPhone 16 Plus,iphone-16,Skærm,Screen,1400,
iPhone 16,iPhone 16,iphone-16,Batteri,Battery,700,
iPhone 16,iPhone 16,iphone-16,Skærm,Screen,1400,
iPhone 15 Pro Max,iPhone 15 Pro Max,iphone-15,Batteri,Battery,700,
iPhone 15 Pro Max,iPhone 15 Pro Max,iphone-15,Skærm,Screen,1400,
iPhone 15 Pro Max,iPhone 15 Pro Max,iphone-15,Bagside,Back Glass,1000,
iPhone 15 Pro,iPhone 15 Pro,iphone-15,Batteri,Battery,650,
iPhone 15 Pro,iPhone 15 Pro,iphone-15,Skærm,Screen,1100,
iPhone 15 Pro,iPhone 15 Pro,iphone-15,Bagside,Back Glass,1000,
iPhone 15 Plus,iPhone 15 Plus,iphone-15,Batteri,Battery,650,
iPhone 15 Plus,iPhone 15 Plus,iphone-15,Skærm,Screen,1100,
iPhone 15 Plus,iPhone 15 Plus,iphone-15,Bagside,Back Glass,1000,
iPhone 15,iPhone 15,iphone-15,Batteri,Battery,600,
iPhone 15,iPhone 15,iphone-15,Skærm,Screen,1000,
iPhone 15,iPhone 15,iphone-15,Bagside,Back Glass,1000,
iPhone 14 Pro Max,iPhone 14 Pro Max,iphone-14,Batteri,Battery,700,
iPhone 14 Pro Max,iPhone 14 Pro Max,iphone-14,Skærm,Screen,1200,
iPhone 14 Pro Max,iPhone 14 Pro Max,iphone-14,Bagside,Back Glass,1000,
